Customers,Depot location,Instance,Beta,Trucks,Objective value,Total truck returns,Total orders collected via depot return,Percentage of orders before departing the depot,Percentage of orders via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
50,Outside,4,1.0,2,502,11,4.4,4%,96%,3.9,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,5,1.0,2,511,11,4.1,10%,90%,2766.7,17.6%,3.3%,3.3%,2.3%,2.3%,0.0%
50,Outside,6,1.0,2,533,11,4.2,8%,92%,3412.5,4.1%,1.9%,1.9%,1.9%,1.9%,1.9%
50,Outside,7,1.0,2,533,10,4.2,16%,84%,1136.1,6.0%,0.6%,0.0%,0.0%,0.0%,0.0%
50,Outside,8,1.0,2,521,11,4.3,6%,94%,62.0,5.8%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,9,1.0,2,526,7,6.4,10%,90%,510.3,19.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,10,1.0,2,456,8,5.6,10%,90%,1291.4,6.6%,2.4%,2.4%,0.0%,0.0%,0.0%
50,Outside,1,1.5,2,681,14,3.1,12%,88%,19.9,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,2,1.5,2,606,10,3.7,26%,74%,171.2,17.3%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,3,1.5,2,677,10,4.1,18%,82%,982.1,14.9%,0.3%,0.0%,0.0%,0.0%,0.0%
50,Outside,4,1.5,2,654,12,3.6,14%,86%,1713.1,10.7%,1.2%,1.2%,0.0%,0.0%,0.0%
50,Outside,5,1.5,2,630,11,3.8,16%,84%,3352.6,22.7%,0.2%,0.2%,0.2%,0.2%,0.2%
50,Outside,6,1.5,2,641,9,4.2,24%,76%,3174.8,15.9%,1.6%,1.6%,1.6%,1.6%,1.6%
50,Outside,7,1.5,2,597,13,2.9,24%,76%,2427.4,12.4%,0.8%,0.8%,0.8%,0.8%,0.0%
50,Outside,8,1.5,2,617,9,4.3,22%,78%,3186.2,14.1%,4.1%,1.9%,1.9%,1.3%,1.3%
50,Outside,9,1.5,2,619,14,3.3,8%,92%,3506.1,3.9%,0.5%,0.5%,0.5%,0.5%,0.5%
50,Outside,10,1.5,2,662,9,4.3,22%,78%,14.8,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,1,1.0,2,637,11,6.3,8%,92%,89.1,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,2,1.0,2,669,12,6.0,4%,96%,1968.2,1.5%,0.3%,0.3%,0.3%,0.0%,0.0%
75,Outside,3,1.0,2,680,12,5.7,9%,91%,2044.7,6.2%,1.2%,1.2%,0.1%,0.0%,0.0%
75,Outside,4,1.0,2,642,12,6.0,4%,96%,979.2,12.3%,2.6%,0.0%,0.0%,0.0%,0.0%
75,Outside,5,1.0,2,626,11,6.1,11%,89%,19.6,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%
75,Outside,6,1.0,2,651,13,5.1,12%,88%,688.6,16.0%,1.2%,0.0%,0.0%,0.0%,0.0%
75,Outside,7,1.0,2,649,13,5.2,9%,91%,3204.2,11.7%,2.2%,2.2%,2.2%,2.2%,0.5%
